winner,count
Rafael Nadal,41
Roger Federer,63
Fernando Verdasco,18
Andy Roddick,32
Jo-Wilfried Tsonga,27
Gilles Simon,14
Juan Martin Del Potro,17
Novak Djokovic,43
James Blake,17
Fernando Gonzalez,16
Gael Monfils,16
Andy Murray,33
Tommy Robredo,19
Marin Cilic,17
Marcos Baghdatis,22
Tomas Berdych,29
Radek Stepanek,11
Richard Gasquet,18
Nicolas Almagro,15
Jurgen Melzer,13
Mario Ancic,11
Igor Andreev,8
Tommy Haas,14
Marat Safin,18
Mardy Fish,11
Stanislas Wawrinka,22
David Ferrer,32
Fabrice Santoro,10
Yen-Hsun Lu,7
Denis Istomin,7
Ivan Ljubicic,11
Nikolay Davydenko,22
Lleyton Hewitt,21
John Isner,7
Ivo Karlovic,8
Juan Monaco,6
Mikhail Youzhny,11
Alejandro Falla,7
Feliciano Lopez,15
Florian Mayer,12
Philipp Kohlschreiber,17
Janko Tipsarevic,12
Bernard Tomic,9
Jarkko Nieminen,13
Julien Benneteau,8
Alexandr Dolgopolov,7
Milos Raonic,10
Guillermo Garcia-Lopez,9
Kei Nishikori,12
David Nalbandian,21
Andreas Seppi,7
Grigor Dimitrov,6
Juan Ignacio Chela,10
Kevin Anderson,8
Sam Querrey,9
Olivier Rochus,6
Jeremy Chardy,6
Juan Carlos Ferrero,13
Andre Agassi,9
Sebastien Grosjean,13
Guillermo Canas,7
Robby Ginepri,6
Dominik Hrbaty,12
Thomas Johansson,7
Paul-Henri Mathieu,7
